Indicator,Location,Race_Ethnicity,Timeframe,Data_Type,Data,MOE
US,United States,African-American / Black,2011,Percent,0.23421,0.008591291
US,United States,Hispanic / Latino,2011,Percent,0.27392,0.009081481
US,United States,Other / Multiple Races,2011,Percent,0.17136,0.009658503
US,United States,Other / Multiple Races,2012,Percent,0.17052,0.011099095
US,United States,Hispanic / Latino,2012,Percent,0.27351,0.009517891
US,United States,African-American / Black,2012,Percent,0.22295,0.008608506
US,United States,White,2011,Percent,0.13543,0.00230974
US,United States,White,2012,Percent,0.12968,0.002264241
US,United States,White,2013,Percent,0.12438,0.002112203
US,United States,African-American / Black,2013,Percent,0.20775,0.007637693
US,United States,Hispanic / Latino,2013,Percent,0.26525,0.009111745
US,United States,Other / Multiple Races,2013,Percent,0.15329,0.010052286
US,United States,African-American / Black,2015,Percent,0.17063999999999999,0.007693556
US,United States,Hispanic / Latino,2015,Percent,0.21702,0.008127146
US,United States,Other / Multiple Races,2015,Percent,0.13366,0.008881685
US,United States,Other / Multiple Races,2014,Percent,0.13144,0.010077583
US,United States,Hispanic / Latino,2014,Percent,0.23685,0.008464812
US,United States,African-American / Black,2014,Percent,0.18876,0.007552777
US,United States,Other / Multiple Races,2016,Percent,0.12523,0.008426804
US,United States,Hispanic / Latino,2016,Percent,0.20774,0.007924642
US,United States,African-American / Black,2016,Percent,0.16277,0.007312988
US,United States,White,2016,Percent,0.10504,0.002032583
US,United States,African-American / Black,2017,Percent,0.17174,0.007726493
US,United States,Hispanic / Latino,2017,Percent,0.20586,0.008497776
US,United States,Other / Multiple Races,2017,Percent,0.12955,0.009477265
US,United States,White,2017,Percent,0.10924,0.002322846
US,United States,African-American / Black,2018,Percent,0.16004,0.007378911
US,United States,Hispanic / Latino,2018,Percent,0.20187,0.008671507
US,United States,Other / Multiple Races,2018,Percent,0.12426,0.00813988
US,United States,White,2018,Percent,0.105,0.002228935
US,United States,African-American / Black,2019,Percent,0.15677,0.007288259
US,United States,Hispanic / Latino,2019,Percent,0.21428,0.008666131
US,United States,Other / Multiple Races,2019,Percent,0.12801,0.008856294
US,United States,White,2019,Percent,0.10902,0.002158761
US,United States,African-American / Black,2020,Percent,0.13557,0.008403975
US,United States,Hispanic / Latino,2020,Percent,0.16712,0.009119916
US,United States,Other / Multiple Races,2020,Percent,0.09987,0.008334425
US,United States,White,2020,Percent,0.08442,0.002095517
US,United States,African-American / Black,2021,Percent,0.12688,0.0068696727976202965
US,United States,Hispanic / Latino,2021,Percent,0.17421,0.00810700561851263
US,United States,Other / Multiple Races,2021,Percent,0.08929,0.008049653843045235
US,United States,White,2021,Percent,0.07425,0.0019507588585838675
US,United States,African-American / Black,2022,Percent,0.12725,0.006987258326262235
US,United States,Hispanic / Latino,2022,Percent,0.19537,0.008080242201685905
US,United States,Other / Multiple Races,2022,Percent,0.10902,0.007054483983665705
US,United States,White,2022,Percent,0.08213,0.0019090917194262147
US,United States,African-American / Black,2023,Percent,0.12729,0.007477317936718464
US,United States,Hispanic / Latino,2023,Percent,0.20124,0.008569056168198586
US,United States,Other / Multiple Races,2023,Percent,0.1092,0.007527581881731749
US,United States,White,2023,Percent,0.08622,0.002191882813349366
US,United States,African-American / Black,2024,Percent,0.13967,0.0074892761
US,United States,Hispanic / Latino,2024,Percent,0.211,0.0080134496
US,United States,Other / Multiple Races,2024,Percent,0.12284,0.0079057598
US,United States,White,2024,Percent,0.09036,0.0021078545
US,United States,White,2014,Percent,0.11303,0.002101942
US,United States,White,2015,Percent,0.10416,0.002169208
17,Illinois,White,2015,Percent,0.07552,0.011443031
17,Illinois,African-American / Black,2023,Percent,0.11986,0.034879300743341446
17,Illinois,Hispanic / Latino,2023,Percent,0.17901,0.033838510513305664
17,Illinois,Other / Multiple Races,2023,Percent,0.11664,0.037247706204652786
17,Illinois,White,2023,Percent,0.08009,0.012988997623324394
17,Illinois,African-American / Black,2024,Percent,0.1369,0.0224361923
17,Illinois,Hispanic / Latino,2024,Percent,0.2225,0.0201159306
17,Illinois,Other / Multiple Races,2024,Percent,0.09157,0.0222974252
17,Illinois,White,2024,Percent,0.08401,0.008121348
17,Illinois,African-American / Black,2021,Percent,0.09109,0.030031077563762665
17,Illinois,Hispanic / Latino,2021,Percent,0.16965,0.049864646047353745
17,Illinois,Other / Multiple Races,2021,Percent,0.08042,0.03447813168168068
17,Illinois,White,2021,Percent,0.08057,0.015115668065845966
17,Illinois,African-American / Black,2022,Percent,0.14155,0.04706459492444992
17,Illinois,Hispanic / Latino,2022,Percent,0.20846,0.039192672818899155
17,Illinois,Other / Multiple Races,2022,Percent,0.10767,0.04433935135602951
17,Illinois,White,2022,Percent,0.07295,0.012828396633267404
17,Illinois,African-American / Black,2019,Percent,0.14254,0.030821186
17,Illinois,Hispanic / Latino,2019,Percent,0.24781,0.03406357
17,Illinois,Other / Multiple Races,2019,Percent,0.15414,0.050998885
17,Illinois,White,2019,Percent,0.09897,0.013165625
17,Illinois,African-American / Black,2020,Percent,0.11307,0.038517334
17,Illinois,Hispanic / Latino,2020,Percent,0.15758,0.061128031
17,Illinois,Other / Multiple Races,2020,Percent,0.14122,0.067210652
17,Illinois,White,2020,Percent,0.08236,0.013342369
17,Illinois,African-American / Black,2017,Percent,0.13514,0.031968709
17,Illinois,Hispanic / Latino,2017,Percent,0.18481,0.034232702
17,Illinois,Other / Multiple Races,2017,Percent,0.1141,0.045237869
17,Illinois,White,2017,Percent,0.10071,0.013288367
17,Illinois,African-American / Black,2018,Percent,0.17611,0.038772393
17,Illinois,Hispanic / Latino,2018,Percent,0.1991,0.031302214
17,Illinois,Other / Multiple Races,2018,Percent,0.12408,0.04276187
17,Illinois,White,2018,Percent,0.08109,0.011764927
17,Illinois,White,2016,Percent,0.08227,0.012671284
17,Illinois,White,2014,Percent,0.08829,0.012812743
17,Illinois,African-American / Black,2015,Percent,0.13691,0.036793888
17,Illinois,Hispanic / Latino,2015,Percent,0.22375,0.044803191
17,Illinois,Other / Multiple Races,2015,Percent,0.13639,0.05433755
17,Illinois,Other / Multiple Races,2016,Percent,0.14156,0.052106574
17,Illinois,Hispanic / Latino,2016,Percent,0.20149,0.043633588
17,Illinois,African-American / Black,2016,Percent,0.13604,0.032667436
17,Illinois,African-American / Black,2013,Percent,0.20251,0.05177905
17,Illinois,Hispanic / Latino,2013,Percent,0.28362,0.06190858
17,Illinois,Other / Multiple Races,2013,Percent,0.12889,0.059423544
17,Illinois,Other / Multiple Races,2014,Percent,0.10978,0.056831114
17,Illinois,Hispanic / Latino,2014,Percent,0.25345,0.051008843
17,Illinois,African-American / Black,2014,Percent,0.15506,0.040097151
17,Illinois,White,2013,Percent,0.0937,0.012031005000000001
17,Illinois,White,2011,Percent,0.109,0.01432586
17,Illinois,White,2012,Percent,0.10507,0.014701189
17,Illinois,African-American / Black,2011,Percent,0.26206,0.058310851
17,Illinois,Hispanic / Latino,2011,Percent,0.23644,0.060228184
17,Illinois,Other / Multiple Races,2011,Percent,0.19207,0.067600995
17,Illinois,Other / Multiple Races,2012,Percent,0.20801,0.067322172
17,Illinois,Hispanic / Latino,2012,Percent,0.22972,0.056435272
17,Illinois,African-American / Black,2012,Percent,0.19365,0.054875247
