Indicator,Location,Coverage_Type,Race_Ethnicity,Timeframe,Data_Type,Data,MOE
US,United States,Employer,African-American / Black,2011,Percent,0.43239,0.003475
US,United States,Employer,African-American / Black,2011,Number,16027520,NA
US,United States,Individual,African-American / Black,2011,Percent,0.02694,0.001014
US,United States,Individual,African-American / Black,2011,Number,998702,NA
US,United States,Insured,African-American / Black,2011,Percent,0.82473,0.002279
US,United States,Insured,African-American / Black,2011,Number,30570747,NA
US,United States,Medicaid/CHIP,African-American / Black,2011,Number,9044841,NA
US,United States,Medicaid/CHIP,African-American / Black,2011,Percent,0.24401,0.003064
US,United States,Medicare,African-American / Black,2011,Number,4499684,NA
US,United States,Medicare,African-American / Black,2011,Percent,0.12139,0.001546
US,United States,Private,African-American / Black,2011,Percent,0.45933,0.003496
US,United States,Private,African-American / Black,2011,Number,17026222,NA
US,United States,Public,African-American / Black,2011,Number,13544525,NA
US,United States,Public,African-American / Black,2011,Percent,0.3654,0.003171
US,United States,Uninsured,African-American / Black,2011,Percent,0.17527,0.002279
US,United States,Uninsured,African-American / Black,2011,Number,6496615,NA
US,United States,Employer,American Indian / Alaska Native,2011,Percent,0.35064,0.011677
US,United States,Employer,American Indian / Alaska Native,2011,Number,711549,NA
US,United States,Individual,American Indian / Alaska Native,2011,Percent,0.02656,0.003651
US,United States,Individual,American Indian / Alaska Native,2011,Number,53889,NA
US,United States,Insured,American Indian / Alaska Native,2011,Percent,0.72716,0.01058
US,United States,Insured,American Indian / Alaska Native,2011,Number,1475629,NA
US,United States,Medicaid/CHIP,American Indian / Alaska Native,2011,Number,476765,NA
US,United States,Medicaid/CHIP,American Indian / Alaska Native,2011,Percent,0.23494,0.010712
US,United States,Medicare,American Indian / Alaska Native,2011,Number,233426,NA
US,United States,Medicare,American Indian / Alaska Native,2011,Percent,0.11503,0.005696
US,United States,Private,American Indian / Alaska Native,2011,Percent,0.37719,0.011918
US,United States,Private,American Indian / Alaska Native,2011,Number,765438,NA
US,United States,Public,American Indian / Alaska Native,2011,Percent,0.34997,0.011272
US,United States,Public,American Indian / Alaska Native,2011,Number,710191,NA
US,United States,Uninsured,American Indian / Alaska Native,2011,Percent,0.27284,0.01058
