Indicator,Location,Race_Ethnicity,Timeframe,Data_Type,Data,MOE
US,United States,African-American / Black,2011,Percent,0.17681,0.00825356
US,United States,Asian / Pacific Islander,2011,Percent,0.1592,0.01163064
US,United States,Hispanic / Latino,2011,Percent,0.15349,0.008053639999999999
US,United States,White,2011,Percent,0.21495,0.00437276
US,United States,Other / Multiple Races,2011,Percent,0.1863,0.01637972
US,United States,African-American / Black,2012,Percent,0.18489,0.00846916
US,United States,Asian / Pacific Islander,2012,Percent,0.18298,0.01303988
US,United States,Hispanic / Latino,2012,Percent,0.16592,0.00637784
US,United States,White,2012,Percent,0.21745,0.00423556
US,United States,Other / Multiple Races,2012,Percent,0.19778,0.016469880000000003
17,Illinois,African-American / Black,2011,Percent,0.15799,0.0383082
17,Illinois,Asian / Pacific Islander,2011,Percent,0.157,0.0608188
17,Illinois,Hispanic / Latino,2011,Percent,0.16887,0.03819648
17,Illinois,White,2011,Percent,0.21895,0.02493316
17,Illinois,Other / Multiple Races,2011,Percent,0.25572,0.10546564
17,Illinois,African-American / Black,2012,Percent,0.16056,0.0353584
17,Illinois,Asian / Pacific Islander,2012,Percent,0.21224,0.08226316
17,Illinois,Hispanic / Latino,2012,Percent,0.19948,0.04453904
17,Illinois,White,2012,Percent,0.23826,0.02142476
17,Illinois,Other / Multiple Races,2012,Percent,0.26612,0.11296068
